"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.888976657E1,9.075556397E-1,1.819920921E1,2.820398331E0
4.890576501E1,4.268239021E0,1.159509945E1,1.174585819E0
4.892176501E1,6.524726391E0,5.866560459E0,1.012459993E-1
4.893776501E1,6.043319225E0,1.737807393E0,-7.666042447E-1
4.895376501E1,4.318421364E0,-1.509630322E0,-6.972298622E-1
4.896976501E1,3.844724178E0,-2.981097221E0,-6.067194343E-1
4.898576501E1,3.681142569E0,-2.570501328E0,1.012986779E0
4.900176501E1,3.841046572E0,-1.168657765E-1,2.804807425E0
4.901776501E1,4.295121193E0,3.074432611E0,3.336856365E0
4.903376501E1,4.420424461E0,4.776854038E0,2.902337313E0
4.904976501E1,3.848171711E0,5.241529942E0,2.931154013E0
4.906576501E1,3.344699621E0,6.524984837E0,2.295598984E0
4.908176501E1,2.455301762E0,8.644331932E0,1.225773811E0
4.909776501E1,1.587710142E0,9.813478470E0,-2.433849573E-1
4.911376501E1,-2.132275999E-1,9.263405800E0,-1.039696455E0
4.912976501E1,-1.632069826E0,8.321268082E0,-1.067947984E0
4.914576501E1,-3.607209682E0,9.021533966E0,-1.057490110E0
4.916176501E1,-4.391981125E0,1.122276306E1,-2.624198198E0
4.917776501E1,-2.890347481E0,1.003086185E1,-3.069404840E0
4.919376501E1,-3.257033587E0,2.220861673E0,1.062834024E0
4.920976501E1,-6.509192944E0,-9.407374382E0,1.870886683E0
4.922576501E1,-4.222289562E0,-1.907953644E1,-5.712584496E0
4.924176501E1,6.495335102E0,-2.597668648E1,-2.751550674E0
4.925776501E1,1.266934967E1,-2.329023743E1,6.683528900E0
4.927376501E1,1.276098061E1,-2.012943268E1,5.727026463E0
4.928976501E1,1.203390884E1,-2.849195671E1,6.241492271E0
4.930576501E1,9.419191360E0,-3.509121704E1,3.968082666E0
4.932176501E1,7.888339520E0,-2.515553284E1,3.883452654E0
4.933776501E1,5.225239754E0,-1.483429241E1,4.388121605E0
4.935376501E1,3.525950432E0,-6.359660625E0,2.956800699E0
4.936976501E1,2.743697643E0,-3.948421776E-1,3.490908861E0
4.938576501E1,2.239536285E0,3.796351671E0,4.420979500E0
4.940176501E1,3.271149874E0,7.622362137E0,3.643074751E0
4.941776501E1,5.635213375E0,8.076073647E0,2.516229391E0
4.943376501E1,6.563187122E0,5.913544178E0,8.603515625E-1
4.944976501E1,4.265883446E0,2.682789326E0,-1.391797364E-1
4.946576501E1,1.177650332E0,8.353848010E-2,9.174197912E-1
4.948176501E1,-1.751042485E0,-1.134459019E0,1.097798944E0
4.949776501E1,-4.132430553E0,-1.263180841E-2,-1.446605325E0
4.951376501E1,-4.990062237E0,1.735461116E0,-2.780855656E0
4.952976501E1,-4.790692329E0,3.372711897E0,-2.327987432E0
4.954576501E1,-4.574888706E0,4.706626892E0,-1.987091660E0
4.956176501E1,-3.394623756E0,4.976491928E0,-1.535257936E0
4.957776501E1,-1.920781851E0,4.424628258E0,-1.247915387E0
4.959376501E1,-1.096544340E-1,4.136587143E0,-1.065994382E0
4.960976501E1,1.975216389E0,4.232220650E0,-1.355721593E0
4.962576501E1,3.900374651E0,3.703063965E0,-1.936238855E-1
4.964176501E1,5.873847961E0,1.495265126E0,9.200150967E-1
4.965776501E1,1.137721825E1,2.753398895E0,1.974900365E0
4.967376501E1,1.795577621E1,1.322235298E1,1.156363964E1
4.968976501E1,1.046292973E1,3.974600601E1,6.398628235E0
4.970576501E1,6.115461588E-1,3.133728600E1,5.159821033E0
4.972176501E1,-1.336610985E1,4.010768890E1,-4.457428753E-1
4.973776501E1,-8.000253677E0,4.030818939E1,6.065211773E0
4.975376501E1,3.398760796E0,4.719395828E1,1.038729191E1
4.976976501E1,-4.280602932E0,4.251459885E1,1.004958534E1
4.978576501E1,-3.581380844E0,2.994865799E1,6.698861122E0
4.980176501E1,4.009234309E-1,2.010387230E1,3.785817146E0
4.981776501E1,2.619122505E0,1.309164810E1,1.909414172E0
4.983376501E1,5.068563461E0,7.504385948E0,1.297599912E0
4.984976501E1,5.864529610E0,3.051927328E0,8.477772474E-1
4.986576501E1,4.421381950E0,-1.178904921E-1,-2.634579539E-1
4.988176501E1,2.551634789E0,-2.394182682E0,-5.102235675E-1
4.989776501E1,2.195214748E0,-2.936603308E0,3.361267745E-1
4.991376501E1,1.913053393E0,-1.926010728E0,1.825913906E0
4.992976501E1,2.005412102E0,6.686334610E-1,2.493637800E0
4.994576501E1,2.929698467E0,3.434128046E0,2.859759092E0
4.996176501E1,3.540200710E0,4.541015148E0,2.997272491E0
4.997776501E1,3.103316307E0,4.389634609E0,2.309399128E0
4.999376501E1,2.189344168E0,4.306153774E0,1.725817084E0
5.000976501E1,2.007059336E0,5.809827328E0,1.176702261E0
5.002576501E1,2.068619013E0,8.785455704E0,5.065364838E-1
5.004176501E1,1.166397572E0,9.763343811E0,-6.404106617E-1
5.005776501E1,-1.713482141E-1,1.007475281E1,-1.228618145E0
5.007376501E1,-9.890447259E-1,1.119004917E1,-2.263468742E0
5.008976501E1,-1.249715805E0,1.143470669E1,-2.560148716E0
5.010576501E1,-1.145826697E0,7.561377525E0,-2.999934912E0
5.012176501E1,-2.966732025E0,-2.751148462E0,1.514045238E0
5.013776501E1,-5.980466843E0,-1.558068848E1,-2.894139767E0
5.015376501E1,1.135339975E0,-2.503046799E1,-4.961619377E0
5.016976501E1,9.318108559E0,-2.991618156E1,3.776297569E0
5.018576501E1,1.206705475E1,-2.097472000E1,3.370423079E0
5.020176501E1,1.405114841E1,-2.012913704E1,5.390889645E0
5.021776501E1,1.254520512E1,-2.770767593E1,3.514534950E0
5.023376501E1,9.492961884E0,-2.672062302E1,3.216131210E0
5.024976501E1,8.791096687E0,-1.876733398E1,3.052425385E0
5.026576501E1,6.764414787E0,-1.092461777E1,2.830319881E0
5.028176501E1,5.345744610E0,-5.464008808E0,2.531341553E0
5.029776501E1,3.761271715E0,-1.014729738E0,2.515606880E0
5.031376501E1,3.974010944E0,3.164789677E0,2.620731354E0
5.032976501E1,6.334627151E0,5.881950378E0,2.006053686E0
5.034576501E1,8.454155922E0,6.538947582E0,1.146066070E0
5.036176501E1,7.271123409E0,5.972441196E0,9.186934829E-1
5.037776501E1,3.802471161E0,5.097044945E0,1.159253240E0
5.039376501E1,2.827073336E-1,4.441138744E0,-2.483649105E-1
5.040976501E1,-1.836333513E0,2.633296251E0,-1.077304602E0
5.042576501E1,-3.038653851E0,2.231395990E-2,-1.033366203E0
5.044176501E1,-4.178916454E0,-1.316897154E0,-1.212778091E0
5.045776501E1,-4.266458035E0,-1.050652385E0,-1.475144267E0
5.047376501E1,-3.495352507E0,1.886630990E-2,-1.983988762E0
5.048976501E1,-2.108353376E0,9.668552876E-1,-2.746398449E0
5.050576501E1,1.583812237E-1,1.328293562E0,-2.349640846E0
5.052176501E1,2.668184519E0,1.569485307E0,-8.526901007E-1
5.053776501E1,5.304018497E0,2.955737829E0,2.553655624E0
5.055376501E1,7.408694267E0,7.128036499E0,5.031395435E0
5.056976501E1,6.705967426E0,1.408737755E1,6.974874496E0
5.058576501E1,8.611167908E0,2.340664482E1,7.428193092E0
5.060176501E1,1.021302223E1,2.384478378E1,3.884496689E0
5.061776501E1,9.269439697E0,2.155730629E1,2.787492514E0
5.063376501E1,4.405800343E0,3.012864494E1,5.324445724E0
5.064976501E1,-3.688669920E0,4.055290222E1,1.071329594E1
5.066576501E1,2.467253685E0,2.937436485E1,4.747290134E0
5.068176501E1,6.099937439E0,2.278849030E1,3.208527088E0
5.069776501E1,6.146777868E-1,1.761663246E1,3.290351391E0
5.071376501E1,-1.956618309E0,1.364536953E1,1.733306289E0
5.072976501E1,-4.501003325E-1,1.013136101E1,1.512637496E0
5.074576501E1,3.656041920E-1,7.269906998E0,1.928021908E0
5.076176501E1,7.927106619E-1,5.463118076E0,1.667379498E0
5.077776501E1,1.285983205E0,4.266678333E0,9.208387136E-1
5.079376501E1,1.591416240E0,3.331809282E0,5.864836574E-1
5.080976501E1,1.037311792E0,2.984582901E0,6.342815161E-1
5.082576501E1,8.271488547E-2,3.401720047E0,6.886203289E-1
5.084176501E1,-7.911496162E-1,4.299851894E0,6.913304925E-1
5.085776501E1,-1.408049226E0,5.546120167E0,1.037417173E0
5.087376501E1,-1.295358896E0,7.360273838E0,4.817229509E-1
5.088976501E1,-7.079367042E-1,8.868352890E0,9.861621261E-1
5.090576501E1,-7.520283461E-1,9.582112312E0,2.466228724E0
5.092176501E1,-1.212672710E0,9.188869476E0,3.980350733E0
5.093776501E1,-1.518871903E0,7.743030071E0,4.681526184E0
5.095376501E1,-1.585976720E0,6.424485683E0,4.655889034E0
5.096976501E1,-9.559280872E-1,5.471478462E0,4.493839741E0
