"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.111795741E0,-4.264187813E0,5.182230473E0,-1.075101972E0
2.127797303E0,-4.469792366E0,3.618242264E0,2.971319437E0
2.143795741E0,-4.402716637E0,2.192178965E0,1.908561826E0
2.159795741E0,-8.970987320E0,3.023206592E-1,-9.983150363E-1
2.175795741E0,-1.492547226E1,-9.678129554E-1,-2.291059345E-1
2.191795741E0,-1.392965698E1,3.279194236E-1,1.459716082E0
2.207795741E0,-8.315417290E0,2.840442657E0,1.658070922E0
2.223795741E0,-4.356221199E0,2.880310774E0,4.354669750E-1
2.239795741E0,-3.480087042E0,2.024335861E0,-1.109166622E0
2.255795741E0,-1.888737798E0,2.462924719E0,-2.332431316E0
2.271795741E0,3.660255373E-1,3.648811340E0,-2.820886612E0
2.287795741E0,4.153317451E0,4.228274822E0,-2.881642103E0
2.303795741E0,7.571155071E0,3.302973747E0,-1.113179326E0
2.319836366E0,1.028654385E1,2.081202984E0,8.986971378E-1
2.335795741E0,1.280557919E1,1.336098671E0,2.477998734E0
2.351795741E0,1.615176392E1,1.913637519E0,2.829065323E0
2.367795741E0,2.275430107E1,1.934945941E0,2.658751488E0
2.383795741E0,2.614590836E1,5.679237843E-1,3.737875462E0
2.399795741E0,2.639322090E1,-1.362779588E-1,7.240525246E0
2.415795741E0,2.592918587E1,7.311221361E-1,1.229185104E1
2.431795741E0,2.409262085E1,5.085743904E0,1.128544331E1
2.447795741E0,2.080445290E1,6.159754276E0,9.989260674E0
2.463795741E0,1.936053848E1,6.984365463E0,9.995361328E0
2.479795741E0,1.794883156E1,7.876272678E0,9.386257172E0
2.495795741E0,1.534543419E1,9.123268127E0,7.477417469E0
2.511795741E0,1.332824326E1,9.259316444E0,5.082813263E0
2.527795741E0,1.168484402E1,8.208749771E0,1.521314144E0
2.543795741E0,9.845436096E0,6.535442829E0,-2.772188663E0
2.559795741E0,8.938732147E0,3.115746975E0,-4.592136383E0
2.575795741E0,7.883694172E0,-1.506355047E0,-4.614689827E0
2.591795741E0,6.640136242E0,-5.920918465E0,-3.966464281E0
2.607795741E0,4.628107071E0,-9.581327438E0,-3.119864941E0
2.623795741E0,1.731649399E0,-1.053892231E1,-4.025639534E0
2.639795741E0,7.478432655E-1,-8.995446205E0,-6.376611233E0
2.655795741E0,1.004109025E0,-6.276351929E0,-8.723331451E0
2.671795741E0,-2.993805408E-1,-2.842128277E0,-1.073633766E1
2.687795741E0,-3.093979120E0,4.459344149E-1,-1.147284222E1
2.703795741E0,-6.382558823E0,3.226368666E0,-1.031438351E1
2.719795741E0,-1.105798435E1,4.465607643E0,-7.533729076E0
2.735795741E0,-1.511618519E1,5.597528934E0,-5.317885876E0
2.751795741E0,-1.832151413E1,6.519899368E0,-2.699452877E0
