"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.128237929E0,3.020561409E1,9.457307816E0,1.722323608E1
2.144237929E0,3.361373138E1,1.030581284E1,1.632014275E1
2.160237929E0,3.334183502E1,9.463168144E0,1.589537334E1
2.176237929E0,2.938086700E1,8.729968071E0,1.507078171E1
2.192237929E0,2.644670677E1,7.420032978E0,1.276259899E1
2.208237929E0,2.264480019E1,4.664853096E0,1.080778122E1
2.224237929E0,2.001972008E1,3.947598219E0,9.075672150E0
2.240237929E0,1.706922150E1,4.145426273E0,7.166688442E0
2.256237929E0,1.324254036E1,3.312808990E0,5.159035206E0
2.272237929E0,9.590769768E0,1.667427421E0,3.482625008E0
2.288237929E0,6.496293068E0,9.297451377E-1,2.406555653E0
2.304237929E0,3.745441198E0,9.157821536E-1,1.553262353E0
2.320237929E0,1.636685967E0,1.411017895E0,1.210776448E0
2.336237929E0,2.716940045E-1,2.582653999E0,7.638269663E-1
2.352237929E0,-5.886096954E-1,3.610934973E0,1.135809273E-1
2.368237929E0,-8.898003101E-1,3.970678329E0,-2.044073641E-1
2.384237929E0,-7.432655692E-1,3.164636612E0,-2.417856455E-1
2.400237929E0,-5.421429873E-1,2.267395258E0,-8.646132946E-1
2.416237929E0,-1.019067988E-1,1.722474813E0,-1.587633371E0
2.432237929E0,-1.599135101E-1,1.361333489E0,-1.886726737E0
2.448237929E0,1.500781476E-1,1.608147025E0,-1.404907942E0
2.464237929E0,1.120620489E0,2.423152447E0,-7.801745534E-1
2.480237929E0,2.220746517E0,3.481293678E0,-8.602749705E-1
2.496237929E0,2.652018785E0,4.124261379E0,-1.119911790E0
2.512237929E0,1.838076591E0,3.787368298E0,-1.077448249E0
2.528237929E0,4.666777849E-1,2.637739897E0,-8.254824281E-1
2.544237929E0,-6.275202632E-1,1.425258636E0,-5.921627283E-1
2.560237929E0,-1.468028665E0,8.826176524E-1,-8.680226207E-1
2.576237929E0,-2.423593044E0,8.921752870E-2,-6.932841539E-1
2.592237929E0,-2.983750105E0,-1.864977837E0,3.154600039E-2
2.608237929E0,-3.062030792E0,-6.443457603E0,3.650065899E0
2.624237929E0,-1.007499218E0,-1.311838627E1,7.953011036E0
2.640237929E0,4.473086834E0,-1.660751343E1,1.084878922E1
2.656237929E0,8.551792145E0,-1.757802773E1,1.468484592E1
2.672237929E0,9.590396881E0,-2.022963524E1,1.889546013E1
2.688237929E0,9.765202522E0,-2.475439835E1,2.070486450E1
2.704237929E0,7.281734943E0,-2.475436020E1,2.015780830E1
2.720237929E0,3.601932764E0,-2.088342476E1,1.968899536E1
2.736237929E0,4.571297169E-1,-1.800050735E1,1.713031197E1
2.752237929E0,-1.069097281E0,-1.540855598E1,1.392356682E1
2.768237929E0,3.463452160E-1,-1.207039642E1,1.037362576E1
